Country,First_Year,Last_Year,First_CO2,Last_CO2,CO2_Change,CO2_Pct_Change,First_Per_Capita,Last_Per_Capita,Per_Capita_Change,Per_Capita_Pct_Change
Poland,1989,2023,439.22,264.03,-175.19,-39.9,11.56,7.2,-4.36,-37.7
United Kingdom,1980,2023,612.65,340.94,-271.71,-44.3,10.88,4.97,-5.91,-54.3
Russia,1992,2023,2206.98,1844.49,-362.49,-16.4,14.82,12.68,-2.14,-14.4
Germany,1991,2023,993.23,600.19,-393.04,-39.6,12.43,7.2,-5.23,-42.1
Ukraine,1992,2023,594.18,106.85,-487.34,-82.0,11.41,2.84,-8.58,-75.1
Eurasia,1980,2023,3515.88,2568.92,-946.97,-26.9,29.43,8.75,-20.68,-70.3
OECD - Europe,1980,2023,4405.05,3339.39,-1065.66,-24.2,10.43,5.67,-4.76,-45.6
Western Europe,1980,2023,4680.55,3573.2,-1107.35,-23.7,9.9,5.62,-4.28,-43.3
Europe,1980,2023,4823.24,3573.2,-1250.04,-25.9,10.2,5.62,-4.59,-44.9
European Union,1980,2023,3920.82,2651.48,-1269.34,-32.4,11.47,5.91,-5.56,-48.5
Eastern Europe and Eurasia,1980,2023,3658.58,724.43,-2934.15,-80.2,30.62,4.89,-25.73,-84.0
