Country,CO2_1949,CO2_2023,Change_%
World,2206.690829,37079.181237323,1580.3070348611575
Non-OPEC,2206.690829,34623.789889549,1469.036742008819
North America,2206.690829,5823.429629821,163.89875524429434
OECD - North America,2206.690829,5822.268524998,163.84613777710135
United States,2206.690829,4795.36631,117.31029317655263
Non-OECD,,25620.238015387,
Asia & Oceania,,20078.526425578,
China,,12195.65713298,
Europe,,3573.199624955,
Western Europe,,3573.199624955,
